MATCH_ID,TIME,JOGADOR,AF_VALOR
2026-01-30|CORINTHIANS|BAHIA,CORINTHIANS,GUI NEGÃO,1.0
2026-01-30|CORITIBA|RED BULL BRAGANTINO,RED BULL BRAGANTINO,LUCAS BARBOSA,6.0
2026-01-30|CORITIBA|RED BULL BRAGANTINO,RED BULL BRAGANTINO,ANDRÉS HURTADO,2.0
2026-01-30|CORITIBA|RED BULL BRAGANTINO,RED BULL BRAGANTINO,SANT ANNA,2.0
2026-01-30|SÃO PAULO|FLAMENGO,SÃO PAULO,MAIK,1.0
2026-01-30|SÃO PAULO|FLAMENGO,SÃO PAULO,CALLERI,1.0
2026-01-30|SÃO PAULO|FLAMENGO,SÃO PAULO,DANIELZINHO,2.0
2026-01-30|CORITIBA|RED BULL BRAGANTINO,RED BULL BRAGANTINO,MATHEUS FERNANDES,1.0
2026-01-30|CORITIBA|RED BULL BRAGANTINO,RED BULL BRAGANTINO,JUNINHO CAPIXABA,1.0
2026-01-30|CORITIBA|RED BULL BRAGANTINO,RED BULL BRAGANTINO,EDUARDO SASHA,4.0
2026-01-30|CORITIBA|RED BULL BRAGANTINO,RED BULL BRAGANTINO,GUSTAVINHO,1.0
2026-01-30|CORINTHIANS|BAHIA,CORINTHIANS,CARRILLO,1.0
2026-01-30|MIRASSOL|VASCO,MIRASSOL,ALDO FILHO,2.0
2026-01-30|CHAPECOENSE|SANTOS,SANTOS,IGOR VINÍCIUS,2.0
2026-01-30|CHAPECOENSE|SANTOS,SANTOS,GABRIEL MENINO,4.0
2026-01-30|ATLÉTICO-MG|PALMEIRAS,ATLÉTICO-MG,IGOR GOMES,1.0
2026-01-30|CHAPECOENSE|SANTOS,SANTOS,LAUTARO DÍAZ,1.0
2026-01-30|CORITIBA|RED BULL BRAGANTINO,RED BULL BRAGANTINO,IGNACIO SOSA,2.0
2026-01-30|ATLÉTICO-MG|PALMEIRAS,ATLÉTICO-MG,CUELLO,1.0
2026-01-30|CORITIBA|RED BULL BRAGANTINO,RED BULL BRAGANTINO,HENRY MOSQUERA,1.0
2026-01-30|SÃO PAULO|FLAMENGO,SÃO PAULO,MARCOS ANTÔNIO,2.0
2026-01-30|CORINTHIANS|BAHIA,BAHIA,ADEMIR,1.0
2026-01-30|MIRASSOL|VASCO,VASCO,ANDRÉS GÓMEZ,2.0
2026-01-30|CORINTHIANS|BAHIA,BAHIA,WILLIAN JOSÉ,1.0
2026-01-30|CORINTHIANS|BAHIA,BAHIA,DAVID DUARTE,1.0
2026-01-30|CORINTHIANS|BAHIA,CORINTHIANS,MATHEUZINHO,2.0
2026-01-30|ATLÉTICO-MG|PALMEIRAS,ATLÉTICO-MG,RENAN LODI,2.0
2026-01-30|CORINTHIANS|BAHIA,CORINTHIANS,MEMPHIS DEPAY,2.0
2026-01-30|BOTAFOGO|CRUZEIRO,BOTAFOGO,ALEX TELLES,3.0
2026-01-30|CHAPECOENSE|SANTOS,SANTOS,VINICIUS LIRA,3.0
2026-01-30|CORINTHIANS|BAHIA,BAHIA,RODRIGO NESTOR,1.0
2026-01-30|MIRASSOL|VASCO,VASCO,PUMA RODRÍGUEZ,1.0
2026-01-30|SÃO PAULO|FLAMENGO,FLAMENGO,ALEX SANDRO,1.0
2026-01-30|INTERNACIONAL|ATHLETICO-PR,INTERNACIONAL,VITINHO,1.0
2026-01-30|FLUMINENSE|GRÊMIO,FLUMINENSE,JOHN KENNEDY,2.0
2026-01-30|ATLÉTICO-MG|PALMEIRAS,PALMEIRAS,GUSTAVO GÓMEZ,1.0
2026-01-30|ATLÉTICO-MG|PALMEIRAS,PALMEIRAS,PIQUEREZ,1.0
2026-01-30|FLUMINENSE|GRÊMIO,FLUMINENSE,RENÊ,1.0
2026-01-30|ATLÉTICO-MG|PALMEIRAS,PALMEIRAS,MAURÍCIO,1.0
2026-01-30|ATLÉTICO-MG|PALMEIRAS,PALMEIRAS,FLACO LÓPEZ,2.0
2026-01-30|ATLÉTICO-MG|PALMEIRAS,PALMEIRAS,RAMÓN SOSA,1.0
2026-01-30|FLUMINENSE|GRÊMIO,GRÊMIO,WILLIAN,1.0
2026-01-30|FLUMINENSE|GRÊMIO,GRÊMIO,WAGNER LEONARDO,1.0
2026-01-30|FLUMINENSE|GRÊMIO,GRÊMIO,GUSTAVO MARTINS,2.0
2026-01-30|FLUMINENSE|GRÊMIO,GRÊMIO,MARLON,1.0
2026-01-30|FLUMINENSE|GRÊMIO,GRÊMIO,MARCOS ROCHA,1.0
2026-01-30|INTERNACIONAL|ATHLETICO-PR,INTERNACIONAL,AGUIRRE,1.0
2026-01-30|INTERNACIONAL|ATHLETICO-PR,INTERNACIONAL,BRUNO TABATA,1.0
2026-01-30|ATLÉTICO-MG|PALMEIRAS,PALMEIRAS,KHELLVEN,1.0
2026-01-30|SÃO PAULO|FLAMENGO,FLAMENGO,PLATA,1.0
2026-01-30|BOTAFOGO|CRUZEIRO,CRUZEIRO,LUCAS SILVA,2.0
2026-01-30|MIRASSOL|VASCO,MIRASSOL,NEGUEBA,1.0
2026-01-30|BOTAFOGO|CRUZEIRO,CRUZEIRO,LUCAS ROMERO,1.0
2026-01-30|CORINTHIANS|BAHIA,CORINTHIANS,MATHEUS BIDU,1.0
2026-01-30|CORINTHIANS|BAHIA,CORINTHIANS,GARRO,1.0
2026-01-30|CORINTHIANS|BAHIA,CORINTHIANS,BRENO BIDON,1.0
2026-01-30|CHAPECOENSE|SANTOS,SANTOS,ZÉ RAFAEL,2.0
2026-01-30|CHAPECOENSE|SANTOS,SANTOS,JOÃO SCHMIDT,2.0
2026-01-30|BOTAFOGO|CRUZEIRO,CRUZEIRO,MATHEUS PEREIRA,3.0
2026-01-30|CORINTHIANS|BAHIA,CORINTHIANS,GUSTAVO HENRIQUE,1.0
2026-01-30|BOTAFOGO|CRUZEIRO,CRUZEIRO,FAGNER,1.0
2026-01-30|SÃO PAULO|FLAMENGO,FLAMENGO,SAMUEL LINO,2.0
2026-01-30|SÃO PAULO|FLAMENGO,FLAMENGO,ERICK PULGAR,1.0
2026-01-30|SÃO PAULO|FLAMENGO,FLAMENGO,EVERTON,4.0
2026-01-30|SÃO PAULO|FLAMENGO,FLAMENGO,LÉO PEREIRA,2.0
2026-01-30|INTERNACIONAL|ATHLETICO-PR,INTERNACIONAL,BORRÉ,3.0
2026-01-30|ATLÉTICO-MG|PALMEIRAS,PALMEIRAS,ALLAN,1.0
2026-01-30|MIRASSOL|VASCO,MIRASSOL,ALESSON,1.0
2026-01-30|MIRASSOL|VASCO,MIRASSOL,WILLIAN MACHADO,1.0
2026-01-30|BOTAFOGO|CRUZEIRO,CRUZEIRO,KAIO JORGE,1.0
2026-01-30|MIRASSOL|VASCO,VASCO,JOHAN ROJAS,1.0
2026-01-30|CORITIBA|RED BULL BRAGANTINO,CORITIBA,SEBASTIÁN GÓMEZ,1.0
2026-01-30|CORITIBA|RED BULL BRAGANTINO,CORITIBA,JOSUÉ,1.0
2026-01-30|CHAPECOENSE|SANTOS,SANTOS,MIGUELITO,5.0
2026-01-30|CORITIBA|RED BULL BRAGANTINO,CORITIBA,PEDRO ROCHA,1.0
2026-01-30|ATLÉTICO-MG|PALMEIRAS,ATLÉTICO-MG,VICTOR HUGO,1.0
2026-01-30|MIRASSOL|VASCO,MIRASSOL,IGOR FORMIGA,1.0
